Town,State/Province,County
arbuckle,CA,Colusa
sandy springs,GA,Fulton
west swanton?,VT,Franklin
washington,GA,Wilkes
loganville,GA,Walton
woonsocket,RI,Providence
palo alto,CA,Santa Clara
sawyer,MI,Berrien
jones & robert moses beach babylon,NY,Suffolk
confluence,PA,Somerset
indian land,SC,Lancaster
heflin,LA,NULL
westhampton beach,NY,Suffolk
bradyville,TN,Cannon
sachse,TX,Dallas
harvey cedars,NJ,Ocean
gainesville,VA,Prince William
west monroe,LA,Ouachita
lampasas,TX,Lampasas
blue ridge parkway,NC,NULL
naperville,IL,DuPage
holly,MI,Oakland
acworth,GA,Cobb
big bend national park,TX,Brewster
sewickley,PA,Allegheny
nacogdoches,TX,Nacogdoches
brewster,WA,Okanogan
ardmore,PA,Montgomery
sedgwick,ME,Hancock
lake park,NC,Union
seagoville,TX,Dallas
portland,TN,Sumner
kutztown,PA,Berks
sonora,TX,Sutton
lovelock,NV,Pershing
kents store,VA,Fluvanna
fernandina beach,FL,Nassau
madison,TN,Davidson
rialto,CA,San Bernardino
colchester,VT,Chittenden
coarsegold,CA,Madera
lake lure,NC,Rutherford
guerneville,CA,Sonoma
villanova,PA,NULL
new york city (manhattan),NY,New York
rutland,VT,Rutland
winchester,OH,Adams
wheatland,IN,Jasper
rio hondo,TX,Cameron
montague,NJ,Sussex
dawsonville,GA,Dawson
englishtown,NJ,Monmouth
newington,NH,Rockingham
porters corners,NY,Saratoga
halifax,MA,Plymouth
glenn heights,TX,Ellis
kiptopeke,VA,Northampton
cayucos,CA,San Luis Obispo
grottoes,VA,Rockingham
oxford,AL,Calhoun
buford,GA,Gwinnett
hartford,AR,Sebastian
new richmond,OH,Clermont
owego,NY,Tioga
cascade,WI,Sheboygan
amelia,OH,Clermont
stevensville,MD,Queen Anne's
rocky point,NY,Suffolk
sapphire,NC,Transylvania
walhalla,SC,Oconee
galena,MD,Kent
monroe,NJ,Middlesex
godfrey,IL,Madison
hull,MA,Plymouth
milltown,NJ,Middlesex
longmeadow,MA,Hampden
colonie,NY,Albany
alvarado,TX,Johnson
madill,OK,Marshall
highlands ranch,CO,Douglas
tujunga,CA,Los Angeles
irvington,NY,Westchester
lakeville,MA,Plymouth
south glastonbury,CT,Hartford
salisbury,NC,Rowan
bloomington,MN,Hennepin
mesquite,TX,Dallas
"damariscotta, me",ME,Lincoln
oak hill,VA,Loudoun
alexander city,AL,Tallapoosa
ambler,PA,Montgomery
oxford,PA,Chester
skillman,NJ,Somerset
dunkirk,MD,Calvert
howe,OK,Le Flore
denair,CA,Stanislaus
malvern,AR,Hot Spring
sunrise beach,MO,Morgan
middlebury,CT,New Haven
commerce twp,MI,Oakland
mt. pleasant,PA,Westmoreland
alva,OK,Woods
jefferson,NH,Coos
somesville,ME,Somerset
madisonville,MS,Madison县
scotrun,PA,Monroe
pine bluff,AR,Jefferson
plymouth meeting,PA,Montgomery
"boerne, texas",TX,Kendall
"washington, d.c.",VA,District of Columbia
hyattsville,MD,Prince George's
manchester,CT,Hartford
gainesville,TX,Cooke
forest,VA,Bedford
reeds,MO,Stone
casselberry,FL,Seminole
bayou vista,TX,Galveston
north wildwood,NJ,Cape May
jarrettsville,MD,Harford
saint cloud,MN,Stearns
greybull,WY,Big Horn
evans,GA,Columbia
nisswa,MN,Crow Wing
hampton,NH,Rockingham
lithonia,GA,DeKalb
rockport,ME,Knox
waverly,AL,Chambers
wickes,AR,Polk
point arena,CA,Mendocino
kempton,PA,Berks
arlington,MA,Middlesex
six mile,SC,Pickens
choctawhatchee bay,FL,Walton
eden,NC,Rockingham
muskego,WI,Waukesha
harvard,MA,Worcester
munfordville,KY,Hart
scott depot,WV,Putnam
rock hall,MD,Kent
eustis,FL,Lake
bensalem,PA,Bucks
north hero,VT,Grand Isle
north fond du lac,WI,Fond du Lac
hot springs,AR,Garland
paragould,AR,Greene
winston salem,NC,Forsyth
lansing,MI,Ingham
accord,NY,Ulster
fairmont,WV,Marion
morgantown,WV,Monongalia
little orleans,MD,Allegany
crestview hills,KY,Kenton
florence,KY,Boone
granger,IN,St. Joseph
bushnell,SD,McCook
corte madera,CA,Marin
scituate,MA,Plymouth
james kiel river bend park,TX,Llano
"rocky river, oh",OH,Cuyahoga
lakewood,OH,Cuyahoga
frederick,OK,Tillman
south berwick,ME,York
bel aire,KS,Sedgwick
maynard,MA,Middlesex
centerville,TX,Leon
edgefield county,SC,Edgefield
saint johns,MI,Clinton
gualala,CA,Mendocino
glen wild,NY,Sullivan
circleville,WV,Pendleton
benson,NC,Johnston
southbury,CT,New Haven
hilliard,FL,Nassau
austn,TX,Travis
brunswick county sunset beach,NC,Brunswick
henderson,KY,Henderson
elwell,MI,Gratiot
hatteras village,NC,Dare
summer shade,KY,Metcalfe
staunton,VA,Augusta
inkster,MI,Wayne
starkville,MS,Oktibbeha
sharonville,OH,Hamilton
chadwicks,NY,Oneida
mercersburg,PA,Franklin
hattiesburg,MS,Forrest
freeburg,IL,St. Clair
stafford springs,CT,Tolland
st louis county,MO,St. Louis
secaucus,NJ,Hudson
lexington,OH,Richland
surf city,NC,Pender
new middletown,IN,Harrison
sisterdale,TX,Kendall
waterford,VA,Loudoun
owasso,OK,Tulsa
townsend,TN,Blount
west lafayette,IN,Tippecanoe
lampe,MO,Stone
fairview,NC,Buncombe
gadsden,AL,Etowah
norwood,OH,Hamilton
erlanger,KY,Kenton
la crosse,KS,Rush
florence,SC,Florence
williamsburg county,SC,Williamsburg
new york city (manhattaan),NY,New York
lanham,MD,Prince George's
new brunswick,NJ,Middlesex
springfield,FL,Bay
lee vining,CA,Mono
jeffersonville,IN,Clark
conneaut,OH,Ashtabula
wenatchee,WA,Chelan
new berlin,WI,Waukesha
falmouth,MA,Barnstable
salemburg,NC,Sampson
everett,MA,Middlesex
cape girardeau,MO,Cape Girardeau
stamford,TX,Jones
hales location,NH,Carroll
hollis,NH,Hillsborough
mount hope,NY,Orange
chelsea,MA,Suffolk
bamberg county,SC,Bamberg
wheaton,IL,DuPage
del haven,NJ,Cape May
auburn,MI,Bay
delanco,NJ,Burlington
shutesbury,MA,Franklin
nantucket,MA,Nantucket
clarion,PA,Clarion
sandy point state park,MD,Anne Arundel
chesterton,IN,Porter
frewsburg,NY,Chautauqua
cambridge,MA,Middlesex
black canyon city,AZ,Yavapai
grand canyon national park,AZ,Coconino
berlin,MA,Worcester
roslindale,MA,Suffolk
chatham,NH,Carroll
sea girt,NJ,Monmouth
vineland,NJ,Cumberland
sea isle,NJ,Cape May
upper marlboro,MD,Prince George's
cohasset,MA,Norfolk
chadwicks and marcy,NY,Oneida
richmond  23225,VA,Chesterfield
brandon,MN,Douglas
congaree bluffs hp,SC,Richland
sandy hook,CT,Fairfield
riverside,IL,Cook
paradise,CA,Butte
lackawaxen,PA,Pike
upton,MA,Worcester
hancock,NH,Hillsborough
new buffalo,MI,Berrien
alnnandale,VA,Fairfax
charlton,MA,Worcester
newtown,PA,Bucks
sharon center,OH,Medina
pittsford,NY,Monroe
stephentown,NY,Rensselaer
canadensis,PA,Monroe
"east windsor, n.j.",NJ,Mercer
barnegat light,NJ,Ocean
halifax,PA,Dauphin
solomons,MD,Calvert
remsen,NY,Oneida
eaton,NH,Carroll
"park falls, wi",WI,Price
cloverdale,VA,Botetourt
chesapeake beach,MD,Calvert
christiana,PA,Lancaster
meredith,NH,Belknap
western springs,IL,Cook
milington,TN,Shelby
groveland,MA,Essex
rochester,NH,Strafford
e. alstead,NH,Cheshire
bow,NH,Merrimack
epsom,NH,Merrimack
bristolville,OH,Trumbull
henderson harbour,NY,Jefferson
sanford,MI,Midland
millville,NJ,Cumberland
greenwood,IN,Johnson
big rock,IL,Kane
scotch grove,IA,Jones
chevy chase,MD,Montgomery
cleveland lakefront-edgewater park,OH,Cuyahoga
augusta,KY,Bracken
wellesley,MA,Norfolk
juniata,NE,Adams
falcon,NC,Cumberland
wade,NC,Cumberland
west tisbury,MA,Dukes
shenandoah national park,VA,Page
bruneau,ID,Owyhee
windham,ME,Cumberland
warren,MA,Bristol
weir,TX,Williamson
stanfordville,NY,Dutchess
boardman,OH,Mahoning
aurora,IL,Kane
hastings,NE,Adams
brentwood,MO,NULL
quemado,TX,Maverick
chincoteague national wildlife refu,VA,Accomack
williamsport,PA,Lycoming
sandy,UT,Salt Lake
hope mills,NC,Cumberland
west ocean city,MD,Worcester
jenks,OK,Tulsa
largo,MD,Prince George's
cashiers,NC,Jackson
lake jackson,TX,Brazoria
cleveland,WI,Manitowoc
holden beach,NC,Brunswick
west amherst,NY,Erie
cullman,AL,Cullman
olive,NY,Ulster
creswell,NC,Washington
brewster,KS,Thomas
sullivan,NH,Cheshire
west swanzey,NH,Cheshire
westport,MA,Bristol
winchendon springs,MA,Worcester
kirkland,IL,DeKalb
s burlington,VT,Chittenden
clinton township,MI,Macomb
st albans,VT,Franklin
swanton,VT,Franklin
alburgh,VT,Grand Isle
texas ny,NY,NULL
willcox,AZ,Cochise
prattville,AL,Autauga
chelmsford,MA,Middlesex
georgia,VT,Franklin
center junction,IA,Jones
cleveland heights,OH,Cuyahoga
lamartine,PA,Clearfield
stover,MO,Morgan
west memphis,AR,Crittenden
wayland,MA,Middlesex
winfield,KS,Cowley
demotte,IN,Jasper
newton,KS,Harvey
holland,TX,Bell
fallston,MD,Harford
comstock park,MI,Kent
goshen,NY,Orange
cottage grove,WI,Dane
roberta,GA,Crawford
armada,MI,Macomb
greenfield center,NY,Saratoga
unincorporated platte county,MO,Platte
shorewood,WI,NULL
canton,OH,Stark
tanglewood park,NC,Davidson
delta,CO,Delta
la porte,IN,LaPorte
north royalton,OH,Cuyahoga
seaford,NY,Nassau
dudley,MA,Worcester
new windsor,MD,Frederick
covington,TN,Tipton
rush,KY,Boyd
irvington,VA,Lancaster
west boylston,MA,Worcester
champlain,NY,Clinton
sheperdsville,KY,Bullitt
wayne,NJ,Passaic
pollock,SD,Campbell
saegertown,PA,Crawford
hartsville,SC,Darlington
monroe,NC,Union
corinth,NY,Saratoga
thrall,TX,Williamson
dunn,NC,Harnett
upper darby,PA,Delaware
lake crabtree,NC,Wake
irondequoit,NY,Monroe
stockbridge,GA,Henry
ocean pines,MD,Worcester
wooster,OH,Wayne
springfield,KY,Washington
akron,MI,Tuscola
magna,UT,Salt Lake
misquamicut beach,RI,Washington
springfield,MA,Hampden
gaines,PA,Tioga
cowee,NC,Macon
florence,IN,Switzerland
wrappinger falls,NY,Dutchess
embden,ME,Somerset
rock springs,WI,Sauk
algoma,WI,Kewaunee
byron,MI,Shiawassee
"grand canyon national park, az",AZ,Coconino
manistee,MI,Manistie
pulaski,NY,Oswego
croatan national forest,NC,Craven
buncombe county,NC,Buncombe
yates mill county park wake co,NC,Wake
schuyler lake,NY,Otsego
pojoaque/espanola,NM,Santa Fe
little falls,NJ,Passaic
islip,NY,Suffolk
natural bridge,VA,Rockbridge
land o lakes,WI,Vilas
maryville,TN,Blount
woodlands,TX,Montgomery
fort fisher,NC,New Hanover
stevensville,MI,Berrien
bridgeport,WI,Marquette
alton,IL,Madison
weymouth,MA,Norfolk
"richardson, texas",TX,Dallas
n durham county,NC,Durham
lake placid,NY,Essex
leitchfield,KY,Grayson
"williamsport, pa",PA,Lycoming
fredonia,NY,Chautauqua
oak grove,MN,Anoka
new richland,MN,Waseca
tiffin,OH,Seneca
fayetteville,OH,Brown
new hyde park,NY,Nassau
penobscot,ME,Hancock
ticonderoga,NY,Essex
"brant beach, nj 08008",NJ,Ocean
dunkirk,NY,Chautauqua
roselle park,NJ,Union
paw paw,WV,Morgan
cross plains,TX,Callahan
delmar,DE,Sussex
ellington,CT,Tolland
lake george,NY,Warren
port jefferson,NY,Suffolk
portland,AR,Ashley
spencer,MA,Worcester
benton city,WA,Benton
"sycamore canyon, santa cruz county",AZ,Santa Cruz
broadview heights,OH,Cuyahoga
jacksonville,OR,Jackson
yukon,OK,Canadian
colt's neck,NJ,Monmouth
goshen,CT,Litchfield
graham,NC,Alamance
crawford county,OH,Crawford
thompson,PA,Susquehanna
lake como,NJ,Monmouth
orange,NJ,Essex
lloyd harbor,NY,Suffolk
ripon,WI,Fond du Lac
bay city,MI,Bay
locust dale,VA,Madison
hillsboro,OH,Highland
avinger,TX,Cass
granby,MA,Hampshire
milan,MO,Sullivan
machiasport,ME,Washington
bluemont,VA,Clarke
green lake,WI,Green Lake
richmond,IN,Wayne
kismit  fire island ny,NY,Suffolk
williamsburg brooklyn,NY,Kings
ocean beach,NY,Suffolk
hubbardston,MA,Worcester
copper hill,VA,NULL
westminster,MD,Carroll
brookeville,MD,Montgomery
creve coeur,MO,St. Louis
brooklin,ME,Hancock
deerfield,NH,Rockingham
langdon,KS,Reno
center barnstead,NH,Belknap
tustin-fremont,WI,Waushara
milford,PA,Pike
brunswick,ME,Cumberland
westfield,WI,Waushara
stirling,NJ,Morris
fairlee,VT,Orange
cape charles. va,VA,NULL
caldwell,NJ,Essex
paola,KS,Miami
wabash,IN,Wabash
norway,NY,Herkimer
mccune,KS,Crawford
mount vernon,OH,Knox
costa mesa,CA,Orange
odessa,MO,Lafayette
nicholville,NY,St. Lawrence
davison,MI,Genesee
davisburg,MI,Oakland
hawley,PA,Wayne
york,ME,York
chardon,OH,Geauga
yacolt,WA,Clark
bowie,TX,NULL
atco,NJ,Camden
leesburg,VA,Loudoun
georgetown,ME,Sagadahoc
chubbuck,ID,Bannock
bayside,NY,Queens
getzville,NY,Erie
hammonton,NJ,Atlantic
longford,KS,Rush
nelson,CA,Butte
nicolaus,CA,Sutter
burlington twp.,NJ,Burlington
san rafael,CA,Marin
conshohocken,PA,Montgomery
milbank,SD,Grant
lisbon,NH,Grafton
pine beach,NJ,Ocean
lagrangeville,NY,Dutchess
block island,RI,Washington
anderson,CA,Shasta
pottsville,PA,Schuylkill
keezletown,VA,Rockingham
so. freeport,ME,Cumberland
goffstown,NH,Hillsborough
hudson,WY,Fremont
blue mound,IL,Macon
mulberry,FL,Polk
charles city,VA,Charles City
middleburg,VA,Loudoun
vantage,WA,Kittitas
dundalk,MD,Baltimore
clarksburg,WV,Harrison
emlenton,PA,Venango
pemiquid,ME,Lincoln
patagonia,AZ,Santa Cruz
newburgh (newburgh bay),NY,Orange
gardnerville,NV,Douglas
big pine,CA,Inyo
bishop,CA,Inyo
markleeville,CA,Alpine
willoughby hills,OH,Lake
linthicum,MD,Anne Arundel
sugarcreek,OH,Tuscarawas
artesia,NM,Eddy
whittier,CA,Los Angeles
cole camp,MO,Benton
stanley,NY,Ontario
lothian,MD,Anne Arundel
kirkwood,CA,Alpine
yarmouth,MA,Barnstable
fremont,OH,Sandusky
grand canyon,AZ,Coconino
islesboro,ME,Waldo
north hampton,NH,Rockingham
payne's creek,CA,Tehama
helena,CA,NULL
afton,MI,Cheboygan
streamwood,IL,Cook
belen,NM,Valencia
poplar island,MD,Talbot
buncombe,IL,Johnson
long beach,CA,Los Angeles
davie,FL,Broward
zinapecuaro,CO,NULL
mount vernon,TX,Franklin
gulfport,FL,Pinellas
ocotillo,CA,Imperial
borrego springs,CA,San Diego
mcclellanville,SC,Charleston
viera,FL,Brevard
santa ana,CA,Orange
homossassa,FL,Citrus
hawaiian gardens,CA,Los Angeles
coconut grove,FL,Miami-Dade
fullerton,CA,Orange
temple terrace,FL,Hillsborough
freeport,TX,Brazoria
lomita,CA,Los Angeles
apalachicola,FL,Franklin
belle chasse,LA,Plaquemines
san leandro,CA,Alameda
gaviota,CA,Santa Barbara
ellabell,GA,Bryan
valrico,FL,Hillsborough
pattison,TX,Wall...
ruskin,FL,Hillsborough
st george island,FL,Franklin
inverness,FL,Citrus
groesbeck,TX,Limestone
daytona beach,FL,Volusia
west hills,CA,Los Angeles
ridgeland,MS,Madison
prosperity,SC,Newberry
cades cove,TN,Blount
lexington,KY,Fayette
"elizabethton,",TN,Carter
spicewood,TX,Travis
greenbackville,VA,Accomack
roseland,VA,Nelson
waynesboro,VA,Augusta
ridgeway,CO,Ouray
stanton,KY,Powell
napa,CA,Napa
stephenville,TX,Erath
franklin,LA,St. Mary Parish
louisville,TN,Blount
westfield,NJ,Union
deer park,TX,Harris
damascus,MD,Montgomery
wellsboro,PA,Tioga
daniel island,SC,Berkeley
newport,FL,Polk
bloomfield,NM,San Juan
"robert moses beach, babylon",NY,Suffolk
jemez springs,NM,Sandoval
west liberty,IA,Muscatine
estancia,NM,Torrance
paw paw,MI,Van Buren
fall creek falls,TN,Van Buren
smith point,TX,Chambers
temecula,CA,Riverside
outer banks,NC,Dare
caswell beach,NC,Brunswick
old tunnel state park,TX,Kerr
blacklick,OH,NULL
kingstree,SC,Williamsburg
marshall,TX,Harrison
beach city,TX,Chambers
birmignham,AL,Jefferson
east lyme,CT,New London
nowata,OK,Nowata
cape hatteras,NC,Dare
lexington,TN,Henderson
marmora,NJ,Ocean
plains,GA,Sumter
vian,OK,Sequoyah
"cole camp, mo.65325",MO,Benton
mountain view,AR,Stone
"lancaster,ohio 43130",OH,Fairfield
cockeysville,MD,Baltimore
scottsville,KY,Allen
lehighton,PA,Carbon
round lake,NY,Saratoga
middle bay lighthouse,AL,Baldwin
carrollton,VA,Isle of Wight
hallsville,TX,Harrison
ecru,MS,Pontotoc
prairieville,LA,Ascension
nixa,MO,Christian
laurel springs,NC,Alleghany
springfield,OH,Clark
bergman,AR,Boone
ottumwa,IA,Wapello
pismo,CA,San Luis Obispo
"point dume, malibu",CA,Los Angeles
jackson center,PA,Mercer
westlake village,CA,Ventura
rutherford,NJ,Bergen
cooperstown,NY,Otsego
parkville,MD,Baltimore
waring,TX,Kendall
derwood,MD,Montgomery
murfreesboro,TN,Rutherford
"pipe creek, tx",TX,Bandera
palmyra,VA,Fluvanna
farmers branch,TX,Dallas
lookout mountain,TN,Hamilton
cumberland,MD,Allegany
bertram,TX,Burnet
madison and fremont properties,WI,DANE
hayes,VA,Gloucester
hogansburg,NY,Franklin
ebony,VA,Southampton
kensington,MD,Montgomery
glenelg,MD,Howard
ballwin,MO,St. Louis
goose rocks beach,ME,York
crofton,MD,Anne Arundel
mill valley,CA,Marin
pennsburg,PA,Montgomery
roland,AR,Pulaski
wittmann,AZ,Maricopa
spur,TX,Dickens
harrisville,NY,Lewis
lake michigan,WI,NULL
new carlisle,OH,Clark
nebraska city,NE,Otoe
pooler,GA,Chatham
cape charles.,VA,Northampton
spring branch,TX,Comal
kenton,OH,Hardin
mio,MI,Oscoda
findlay,OH,Hancock
n. myrtle beach,SC,Horry
east greenville,PA,Montgomery
sunbury,PA,Northumberland
fairport,MI,Antrim
evergreen park,IL,Cook
bennington,VT,Bennington
williamsburg,PA,Blair
bedford,TX,Tarrant
central lake,MI,Antrim
smithfield,KY,Henry
bartlett,TN,Shelby
copemish,MI,Manistee
kokomo,IN,Howard
lake dallas,TX,Denton
homeworth,OH,Columbiana
eureka springs,AR,Carroll
hesston,KS,Harvey
detroit lakes,MN,Becker
pittsford,MI,Hillsdale
gerald,MO,Franklin
north platte,NE,Lincoln
waxahachie,TX,Ellis
dyer,IN,Lake
flandreau,SD,Moody
west alton,MO,St. Charles
loveland,OH,Clermont
wapwallopen,PA,Luzerne
surf city,NJ,Ocean
burnet,TX,Burnet
wyoming,MI,Kent
mcfarland,WI,Dane
mexico,NY,Oswego
old greenwich,CT,Fairfield
alba,TX,Wood
white plains,NY,Westchester
blue grass,IA,Scott
pewaukee,WI,Waukesha
north massapequa,NY,Nassau
bethlehem,PA,Northampton
san marcial,NM,Socorro
winston,NM,Sierra
chatham,NJ,Morris
haymarket,VA,Prince William
asbury park,NJ,Monmouth
glen mills,PA,Delaware
chincoteague nwr,VA,Accomack
mocksville,NC,Davie
anchor bay,CA,Sonoma
wolfe city,TX,Hunt
lathrup village,MI,Oakland
roaring gap,NC,Alleghany
allenton,WI,Calumet
tuckahoe,NJ,Cape May
greensburg,PA,Westmoreland
belleville,IL,St. Clair
brookfield,CT,Fairfield
mahwah,NJ,Bergen
buchanan,VA,Botetourt
elgin,AZ,Santa Cruz
the sea ranch,CA,Sonoma
johnsville,SC,Chester
cranberry,PA,Butler
lavergne,TN,Rutherford
knox,PA,Clarion
linville,NC,Avery
collegedale,TN,Hamilton
"wichita falls, tx",TX,Wichita
stafford,VA,Stafford
summertown,TN,Lawrence
melbourne,IA,Marshall
whitehall,PA,Lehigh
fairfield,CT,Fairfield
pensacola beach,FL,Escambia
linville falls,NC,Burke
new market,TN,Jefferson
fuquay-varina,NC,Wake
cobden,IL,Union
bath,MI,Clinton
wilson,NC,Wilson
plandome,NY,Nassau
purcellville,VA,Loudoun
plateau,NC,Wilkes
annapolis,MO,Iron
new caney,TX,Montgomery
potter brook,PA,Potter
sabinsville,PA,Tioga
tawas,MI,Iosco
lex,KY,Fayette
havertown,PA,Delaware
choctaw,OK,Oklahoma
garrettsville,OH,Portage
ashland,WI,Ashland
royal oak,MI,Oakland
hampton,NJ,Hunterdon
hamilton,OH,Butler
coon rapids,IA,Carroll
ham lake,MN,Anoka
pierpont,MO,Lawrence
olean,NY,Cattaraugus
westhoff,TX,DeWitt
middle river,MD,Baltimore
oden,MI,Emmet
west salem,WI,La Crosse
hanson,KY,Hopkins
hawthorne,NJ,Passaic
ponder,TX,Denton
picayune,MS,Pearl River
colfax,NC,Guilford
fremont,IN,Steuben
scranton,PA,Lackawanna
wind gap,PA,Northampton
columbia,TN,Maury
hillsdale lake,KS,Miami
lake toxaway,NC,Transylvania
williamsville ny 14221,NY,Erie
latham,NY,Albany
thomson,GA,McDuffie
southampton,NY,Suffolk
hanksville,UT,Wayne
menominee,MI,Menominee
ashland,OR,Jackson
livingston,NJ,Essex
paynesville,MN,Stearns
pavo,GA,Brooks
benezette pa,PA,Elk
white sulfur springs,WV,Greenbrier
"tawas point, michigan",MI,Iosco
mccaysville,GA,Fannin
millstadt,IL,St. Clair
forney,TX,Kaufman
whitehouse,OH,Lucas
springtown,TX,Parker
"cherryville, mo 65446",MO,UNKNOWN
hartland,VT,Windsor
indian river,MI,Cheboygan
boyertown,PA,Berks
park rapids,MN,Hubbard
park forest,IL,Cook
new franken,WI,Brown
waldoboro,ME,Lincoln
jericho center,VT,Chittenden
nelsonville,OH,Athens
placerville,CA,El Dorado
lemoyne,PA,Cumberland
gatlinburg,TN,Sevier
humboldt,KS,Allen
peninsula,OH,Summit
baldwin,NY,Nassau
celina,TX,Collin
daleville,VA,Botetourt
drums,PA,Luzerne
joshua springs park,TX,Coryell
bellevue,NE,Sarpy
glen cove,NY,Nassau
honey grove,TX,Fannin
washington,MO,Franklin
hughesville,PA,Lycoming
titonka,IA,Kossuth
campbellsville,KY,Taylor
wisconsin rapids,WI,Wood
hurley,WI,Iron
steedman,OK,Okmulgee
ballston spa,NY,Saratoga
llano,TX,Llano
peabody,KS,Marion
cross lanes,WV,Kanawha
shelby twp.,MI,Macomb
cherryville,MO,NULL
el dorado,KS,Butler
san saba,TX,San Saba
glencoe,AR,Izard
"smiths point county park, mastic",NY,Suffolk
waterford,NY,Saratoga
forked river,NJ,Ocean
pompton lakes,NJ,Passaic
hicksville,OH,Defiance
olivebridge,NY,Ulster
altamont,NY,Albany
grey cloud island,MN,Washington
glendora,CA,Los Angeles
martindale,TX,Caldwell
port saint joe,FL,Gulf
egg harbor,WI,Door
afton,NY,Chenango
spruce pine,NC,Mitchell
"james kiel park, kendall co., tx",TX,Kendall
lake monticello,VA,Fluvanna
jefferson city,TN,"Jefferson City, TN is located in JEFF"
newbury,MA,Essex
st. paul,AR,Madison
wellesley island,NY,Jefferson
north stonington,CT,New London
sebago,ME,Cumberland
maple park,IL,NULL
danville,KY,Boyle
grafton,MA,Worcester
leakey,TX,REAL
hixson,TN,Hamilton
wheaton,MD,Montgomery
melrose,NM,Curry
"jacksonville, florida",FL,Duval
pilot mountain sp,NC,Surry
hobart,IN,Lake
manchester center,VT,Bennington
garretson,SD,Minnehaha
wapakoneta,OH,Auglaize
berkley,MI,Oakland
greentown,PA,Pike
canyon lake/starksville,TX,Comal
geneseo,IL,Henry
harpersfield,NY,Delaware
dillsburg,PA,York
odessa,TX,Ector
south new berlin,NY,Chenango
hiawatha,IA,Linn
nunda,NY,Livingston
lapel,IN,Madison
i 195,NJ,Mercer
wilmot,NH,Merrimack
lucas,KS,Russell
fishs eddy,NY,Delaware
portage,IN,Porter
bloomingburg,NY,Sullivan
big flats,NY,Chemung
dingman's ferry,PA,Pike
cato,NY,Cayuga
sparland,IL,Marshall
tonawanda,NY,Erie
boulder junction,WI,Vilas
clifton,VA,Fairfax
ladue,MO,St. Louis
crown point,IN,Lake
idaho falls,ID,Bon
port clinton,OH,Ottawa
fritch,TX,Hutchinson
houlton,WI,NULL
bliss,MI,Emmet
rye,NY,Westchester
kimball,NE,Kimball
nappanee,IN,Elkhart
davenport,IA,Scott
lexington,NY,Greene
kennebunkport,ME,York
babylon,NY,Suffolk
nibley,UT,Cache
stillman valley,IL,Ogle
san antonio,NM,Socorro
tarentum,PA,Allegheny
hockessin,DE,New Castle
boonsboro,MD,Washington
bountiful,UT,Davis
delaware,OH,Delaware
olney,MD,Montgomery
tunbridge,VT,Orange
robert moses beach,NY,Suffolk
wadena,MN,Wadena
rockland lake,NY,Rockland
blairstown,NJ,Warren
halfmoon,NY,Saratoga
cody,WY,Park县
organ,NM,Doña Ana
westfield,MA,Hampden
elkridge,MD,Howard
wall township,NJ,Monmouth
middle village,NJ,NULL
aurora,OH,Portage
delafield,WI,Waukesha
denbigh,VA,Newport News
franklin township,NJ,Somerset
cape st. claire,MD,Anne Arundel
west jefferson,NC,Ashe
edgartown,MA,Dukes
san rafael valley,AZ,Santa Cruz
payson,AZ,Gila
woodstock,MD,Howard
robinsonville,MS,Tunica
hyannisport,MA,NULL
londonderry,NH,Rockingham
elverson,PA,Chester
"glen rose, tx",TX,Somervell
nerstrand,MN,Rice
oak bluffs,MA,Dukes
oak park,MI,Oakland
"metamora, mi",MI,Lapeer
edgerton,OH,Williams
latrobe,PA,Westmoreland
urbana,IL,Champaign
lake elmore,VT,Lamoille
"porter, me",NH,Carroll
syria,VA,Madison
oglesby,IL,LaSalle
mechanicstown,OH,Carroll
troy,NY,Rensselaer
cridersville,OH,Auglaize
white oak,OK,Latimer
catonsville,MD,Baltimore
st. peters,MO,St. Charles
coyle,OK,Logan
florence ky,KY,Boone
corcoran,MN,Hennepin
west yarmouth,MA,Barnstable
sonoma,CA,Sonoma
galloway,NJ,Atlantic
poquoson,VA,NULL
park city,UT,Summit
northville,MI,Wayne
coppell,TX,Dallas
long island,ME,Cumberland
newcastle,OK,McClain
pacifica,CA,San Mateo
pacific ocean,CA,Los Angeles
nesseqogue,NY,Suffolk
buxton,NC,Dare
barkhamsted,CT,Litchfield
highland,KS,Doniphan
lakeville,MN,Dakota
pretty prairie,KS,Reno
berlin,MD,Worcester
camp creek,WV,Mercer
hampton bay,NY,Suffolk
lancaster,KY,Garrard
pittstown,NJ,Hunterdon
geneva,NE,Fillmore
glen haven,MI,Leelanau
empire,MI,Leelanau
chester,CA,Plumas
mercer,WI,Iron
pownal,ME,Cumberland
ohiopyle,PA,Fayette
mableton,GA,Cobb
rhome,TX,Wise
middleburg heights,OH,Cuyahoga
annandale,VA,Fairfax
matthews,NC,Mecklenburg
west warwick,RI,Kent
viking,MN,Marshall
prescott valley,AZ,Yavapai
malta,NY,Saratoga
mountain view,OK,Kiowa
genoa,WI,Vernon
middletown,PA,null
greece,NY,Monroe
alsip,IL,Cook
richfield,UT,Sevier
north sandwich,NH,Carroll
elko new market,MN,Scott
aquinnah,MA,Dukes
barrington,NH,Strafford
sparta,WI,Monroe
coloma,MI,Berrien
near paris,KY,Bourbon
freeport,FL,Walton
bixby,OK,Tulsa
flag pond,TN,Unicoi
deerfield,MA,Franklin
cayuga county,NY,Cayuga
